REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ADJUSTMENT,POLLUTANT,METHODOLOGY,SOURCE,VESSEL,VESSEL_EMISSIONS_SOURCE,TIME_PERIOD,CO2_Emissions,Group
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2019-01,163004,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2019-02,124567,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2019-03,137451,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2019-04,132729,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2019-05,131966,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2019-06,120199,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2019-07,133853,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2019-08,129680,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2019-09,136727,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2019-10,127680,OECD Country
