Region,year,Sea_Level_mm
Atlantic Ocean,2019,-2.0740166341105627e-14
Atlantic Ocean,2020,-1.639459459459481
Atlantic Ocean,2021,4.125102040816305
Atlantic Ocean,2022,4.439552238805949
Atlantic Ocean,2023,12.46499999999998
Bay of Bengal,2019,5.569118739741326e-15
Bay of Bengal,2020,40.53783783783785
Bay of Bengal,2021,81.22138138138139
Bay of Bengal,2022,58.994073087171685
Bay of Bengal,2023,5.426486486486493
Gulf of America,2019,1.4210854715202004e-14
Gulf of America,2020,0.633783783783796
Gulf of America,2021,-9.39262977262976
Gulf of America,2022,19.84015500794914
Gulf of America,2023,26.20405405405407
Indian Ocean,2019,-5.953195894206245e-15
Indian Ocean,2020,3.037027027027021
Indian Ocean,2021,2.015940315315309
Indian Ocean,2022,10.544768051633715
Indian Ocean,2023,16.247162162162155
Pacific Ocean,2019,7.105427357601002e-15
Pacific Ocean,2020,0.3964864864864934
Pacific Ocean,2021,4.563253638253645
Pacific Ocean,2022,4.702122416534188
Pacific Ocean,2023,13.8818918918919
Sea of Japan,2019,4.608925853579029e-15
Sea of Japan,2020,11.4245945945946
Sea of Japan,2021,25.239272349272355
Sea of Japan,2022,20.303163751987285
Sea of Japan,2023,27.2468918918919
South China Sea,2019,-6.721350203136083e-16
South China Sea,2020,21.50027027027027
South China Sea,2021,33.59863000931966
South China Sea,2022,65.40886327503975
South China Sea,2023,38.11540540540541
